nombre,apodo,profesion,categoria
ramon aboitiz,N/A,ingeniero civil;academico;empresario,ciencia
carlos abumohor,N/A,inversor;banquero,N/A
nicolas abumohor,N/A,empresario,negocios
ricardo abumohor,N/A,empresario,negocios
marcial acharan;smith,N/A,empresario,negocios
felipe achondo,N/A,empresario,negocios
luis vicente ajenjo isasi,el filantropo gran magnate,empresario;politico,politica
daniel eduardo albarran ruizclavijo,N/A,ingeniero civil;empresario;consultor;dirigente gremial,negocios
arsenio alcalde,N/A,constructor civil;profesor;empresario;dirigente gremial,ciencia
pablo alcalde,N/A,ingeniero comercial;consultor;empresario,negocios
jose antonio alemparte vial,N/A,militar empresario;politico,politica
miguel allamand,N/A,ingeniero civil;empresario;politico,politica
abel alonso sopelana,N/A,empresario,negocios
anita ester alvarado munoz,la geisha chilena,trabajadora sexual;empresaria;actriz,entretenimiento
pedro alvarezsalamanca buchi,N/A,politico;empresario,politica
francisco alvarez perez,N/A,empresario,negocios
paola amar sepulveda,N/A,secretaria de educacion de barranquilla,N/A
anacleto angelini fabbri,N/A,empresario,negocios
roberto angelini,N/A,ingeniero civil;empresario,negocios
gino angelini,N/A,empresario,negocios
hector anguita,N/A,agricultor,N/A
carlos anwandter,N/A,farmaceutico;empresario,negocios
andres ebner anzenhofer,N/A,empresario,negocios
adolfo arata,N/A,empresario,negocios
rodrigo de araya,N/A,empresario,negocios
ricardo ariztia de castro,N/A,agronomo;empresario;dirigente gremial;politico,politica
anibal ariztia reyes,N/A,ingeniero civil;dirigente gremial;empresario,negocios
rafael ariztia,N/A,politico;empresario,politica
luis felipe armas duch,N/A,actor;productor;director de television;empresario,entretenimiento
manuel arriaran,N/A,empresario,negocios
guillermo arthur,N/A,abogado;politico,politica
patricio valentin artiagoitia alti,N/A,ingeniero civil;academico;empresario;investigador,ciencia
alfredo asfura,N/A,empresario;dirigente deportivo,negocios
georg aubel buckle,N/A,empresario;politico,politica
aref marcelo awad awad,N/A,ingeniero civil;empresario,negocios
jorge alberto awad mehech,N/A,ingeniero comercial;academico;empresario;consultor;dirigente gremial,ciencia
ernesto ayala,N/A,ingeniero civil;empresario;dirigente gremial,negocios
pasko baburica soletic,N/A,empresario,negocios
dante juan bacigalupo mario,N/A,ingeniero civil;empresario,negocios
felix bacigalupo,N/A,economista;empresario;consultor,negocios
mauricio banchieri,N/A,empresario;comisionado de comercio de chile en nueva york,negocios
ruy barbosa popolizio,N/A,empresario;ingeniero agronomo;politico,politica
catherine carolina barriga guerra,cathy barriga,politica;modelo;personalidad televisiva,politica
cesar jorge barros montero,N/A,agronomo;economista;empresario;academico;dirigente gremial,ciencia
yamal edgardo bathich villarroel,N/A,empresario,negocios
jaime francisco bauza bauza,N/A,ingeniero civil;empresario,negocios
miguel bauza,N/A,notario publico;politico,politica
miguel becker,N/A,politico;empresario;militar,politica
rene benavides,N/A,empresario;politico,politica
juan benavides,N/A,ingeniero comercial;empresario,negocios
mario bertolino,N/A,medico veterinario;politico,politica
andres bianchi,N/A,abogado;economista;empresario;investigador;academico;consultor,ciencia
sergio javier bitar hirmas,N/A,ingeniero civil matematico;ejecutivo de empresas;empresario;consultor,negocios
gonzalo boye,N/A,abogado;empresario;editor,negocios
joaquin brahm,N/A,ingeniero comercial;empresario;politico,politica
sara braun,N/A,empresaria,N/A
jorge bronfman,N/A,ingeniero civil;academico;empresario;dirigente gremial,ciencia
augusto bruna,N/A,ingeniero;empresario;politico,politica
lowry bullemore,N/A,empresario,negocios
jaime bulnes sanfuentes,N/A,politico;empresario,politica
jorge bunster,N/A,ingeniero comercial;empresario,negocios
jose bunster,N/A,empresario;politico,politica
fernando bustamante huerta,N/A,contador;empresario;consultor;politico,politica
julio bustamante jeraldo,N/A,abogado;academico;empresario;consultor,ciencia
carlos caceres contreras,N/A,economista;academico;empresario;politico,politica
fernando enrique canas berkowitz,N/A,ingeniero comercial;contador;empresario,negocios
maria teresa canas pinochet,N/A,ingeniera quimica;empresaria,N/A
carlos remigio cardoen cornejo,N/A,empresario;ingeniero;cientifico;fabricante de armas;militar;coleccionista de arte;inversor,ciencia
sergio arnaldo cardone solari,N/A,ingeniero comercial;empresario,negocios
carlos eduardo vicente rogelio caruz middleton,N/A,ingeniero civil;academico;empresario;consultor,ciencia
eugenio celedon,N/A,ingeniero civil;investigador;academico;empresario;dirigente gremial;politico,politica
celedonio ascacibar;de villota,N/A,empresario,negocios
eduardo alejandro chadwick claro,N/A,empresario;emprendedor,negocios
juan alfonso chadwick errazuriz,N/A,empresario;polista;emprendedor,negocios
herman chadwick pinera,N/A,abogado;dirigente gremial;politico,politica
mario chamorro,N/A,economista;academico;empresario,ciencia
alberto chang,N/A,empresario;ingeniero comercial,negocios
ricardo jaime charles coddou,N/A,empresario,negocios
jorge emilio cheyre puodensan,N/A,empresario;dirigente gremial,negocios
enrique andres marcelo matias gabriel cibie bluth,N/A,ingeniero comercial;empresario;dirigente gremial;consultor;,negocios
ricardo claro,N/A,abogado;academico;empresario,ciencia
modesto collados,N/A,ingeniero civil;academico;dirigente gremial;escritor;politico,politica
sergio concha munilla,N/A,ingeniero comercial;empresario,negocios
mario andres concha rodriguez,N/A,empresario;ingeniero de ventas,negocios
lorenzo leocadio constans gorri,N/A,constructor civil;empresario;dirigente gremial,negocios
jorge contador araya,N/A,secretario general de la fundacion ganamos todos,N/A
patricio contesse,N/A,ingeniero forestal;empresario,negocios
cirilo cordova,N/A,ingeniero comercial;empresario;dirigente gremial,negocios
pedro prospero corona bozzo,N/A,contador auditor;academico;dirigente gremial;empresario,ciencia
guillermo correa fuenzalida,N/A,abogado;agricultor;empresario;politico,politica
luis correa ramirez,N/A,empresario,negocios
elisa correa,N/A,ama de casa,N/A
joaquin cortez huerta,N/A,economista;academico;empresario,ciencia
francisco javier courbis grez,N/A,ingeniero civil;empresario,negocios
luis cousino,N/A,empresario;politico,politica
carlos cousino,N/A,industrial;filantropo;coleccionista de arte,N/A
jose gabriel cox donoso,N/A,ingeniero comercial;empresario,negocios
luis patricio crespo ureta,N/A,empresario;dirigente gremial,negocios
cristobal adolfo cortesmonroy vicencio,N/A,empresario,negocios
ricardo cruzat ochagavia,N/A,ingeniero comercial,N/A
alvaro cruzat,N/A,ingeniero agronomo;ejecutivo de empresas;politico,politica
felipe cubillos,N/A,abogado;empresario;dirigente gremial;velerista,negocios
enrique miguel cueto plaza,N/A,ingeniero comercial;empresario,negocios
ignacio javier cueto plaza,N/A,ingeniero comercial;empresario,negocios
juan cueto sierra,N/A,contador auditor;empresario,negocios
ricardo cumming,N/A,comerciante,N/A
rafael cumsille,N/A,empresario,negocios
albert james cussen mackenna,N/A,ingeniero civil;empresario;consultor,negocios
sergio de castro,N/A,economista;politico,politica
francisco de la maza chadwick,N/A,constructor;empresario;politico,politica
patricio de solminihac,N/A,ingeniero civil;empresario,negocios
felix de vicente,N/A,economista;empresario;politico,politica
sotero del rio gundian,N/A,medico cirujano;academico;investigador;empresario;dirigente gremial;politico,politica
carlos alberto delano abbott,choclo delano,empresario,negocios
jesus diez martinez,N/A,empresario,negocios
matias domeyko,N/A,ingeniero comercial;empresario,negocios
vicente dominguez,N/A,abogado;empresario;dirigente gremial;consultor,negocios
andres donoso,N/A,ingeniero;empresario;politico,politica
hernan claudio doren lois,N/A,ingeniero civil;empresario;dirigente gremial,negocios
peter ernesto dragicevic cariola,N/A,empresario,negocios
matias gonzalo duarte sunkel,N/A,informatico teorico;empresario;inventor,negocios
isidoro dubournais du ferran du salaun l'egoin d'orleans,N/A,empresario minero,negocios
roberto alejandro miguel duenas dujovne,N/A,empresario,negocios
alfonso dulanto rencoret,N/A,ingeniero civil;empresario,negocios
miguel angel duran,N/A,ingeniero civil;dirigente gremial;empresario,negocios
adolfo eastman quiroga,N/A,politico;empresario,politica
tomas eastman,N/A,politico;empresario,politica
fernando echeverria vial,N/A,ingeniero civil;empresario;dirigente gremial;politico,politica
agustin roberto edwards budge,N/A,empresario,negocios
agustin ivan edmundo edwards eastman,N/A,periodista;editor;empresario,negocios
roberto jorge edwards eastman,N/A,artista;fotografo;emprendedor,negocios
agustin edwards macclure,N/A,economista;empresario;banquero;escritor;diplomatico;politico,politica
agustin edwards ossandon,N/A,politico;empresario,politica
agustin edwards ross,N/A,empresario;banquero;politico,politica
arturo edwards ross,N/A,empresario;politico,politica
jorge edwards brown,N/A,minero;politico,politica
juan eduardo errazuriz,N/A,ingeniero civil;empresario;dirigente gremial,negocios
francisco javier errazuriz talavera,fra fra,ingeniero;empresario;politico,politica
pedro pablo errazuriz,N/A,ingeniero civil;investigador;empresario;politico,politica
gaston enrique escala aguirre,N/A,ingeniero civil;empresario;dirigente gremial,negocios
javier etcheberry,N/A,ingeniero civil;empresario;academico;investigador;consultor;politico,politica
maria elena etcheberry,N/A,abogada;empresaria,N/A
alberto etchegaray aubry,N/A,ingeniero civil;empresario;politico,politica
cristian eyzaguirre johnston,N/A,economista;academico;consultor;empresario,ciencia
roberto fantuzzi,N/A,ingeniero de ventas;empresario,negocios
leonardo julio farkas klein,N/A,filantropo;pianista;empresario minero,negocios
manuel feliu justiniano,N/A,abogado;academico;empresario;dirigente gremial,ciencia
domingo fernandez concha,N/A,empresario;politico,politica
joaquin fernandez fernandez,N/A,abogado;diplomatico;empresario;politico,politica
joaquin fernandez blanco,N/A,empresario;politico;diplomatico,politica
eduardo figueroa geisse,N/A,ingeniero civil;economista;empresario;consultor,negocios
juan agustin figueroa,N/A,abogado;empresario;politico,politica
agueda flores,N/A,hacendada,N/A
bartholomeus blumenthal welzer,N/A,conquistador;empresario;carpintero,negocios
jorge fontaine,N/A,empresario;dirigente gremial;politico,politica
haroldo fossa,N/A,ingeniero forestal;empresario;politico,politica
isaac frenkel,N/A,profesion juridica,N/A
mario fuenzalida,N/A,empresario;politico,politica
jose antonio galilea,N/A,tecnico agricola;empresario;consultor;politico,politica
francisco gandarillas,N/A,diplomatico;empresario,negocios
rafael garay,N/A,ingeniero comercial;empresario,negocios
george garcelon,N/A,ingeniero civil;empresario;consultor,negocios
jorge andres garces fernandez,N/A,ingeniero civil;empresario,negocios
alvaro garcia alamos,N/A,economista;academico;empresario;politico,politica
maria carolina garcia de la huerta aguirre,N/A,periodista;empresaria;consultora;investigadora,ciencia
claudio garcia swears,N/A,ingeniero comercial;contador;empresario,negocios
oscar guillermo garreton,N/A,economista;empresario;consultor;politico,politica
laurence golborne,N/A,ingeniero industrial;empresario;politico,politica
antonio gomez de galleguillos,N/A,hacendado;terrateniente;militar;explorador;conquistador;poblador;gobernante colonial,N/A
jonas gomez gallo,N/A,empresario,negocios
gustavo gonzalez doorman,N/A,ingeniero civil;empresario,negocios
victor gonzalez maertens,N/A,abogado;empresario;politico,politica
manuel goycoolea espoz,N/A,abogado;empresario,negocios
isidora goyenechea gallo,N/A,empresaria,N/A
pablo jose granifo lavin,N/A,ingeniero comercial;empresario,negocios
jose guilisasti gana,N/A,agronomo;empresario,negocios
rafael guilisasti,N/A,profesor;empresario;dirigente gremial,ciencia
hernan jaime guiloff izikson,N/A,abogado;empresario;dirigente gremial,negocios
jose antonio guzman matta,N/A,ingeniero civil;empresario;dirigente gremial,negocios
eugenio marcos heiremans despouy,N/A,empresario;dirigente gremial,negocios
edmundo hermosilla,N/A,ingeniero comercial;empresario;politico,politica
chantal macarena aguilar santelices,N/A,periodista;presentadora de television,entretenimiento
pablo segundo aguilera parotto,N/A,periodista,periodismo
gustavo aguirre aguirre,N/A,periodista deportivo;periodista,periodismo
cristian alarcon casanova,N/A,periodista;escritor,literatura
fernando ernesto alarcon leon,N/A,periodista;comediante;actor,entretenimiento
david albala,N/A,director de cine,cine
alfonso alcalde ferrer,N/A,periodista;poeta;escritor;editor,literatura
salvador allende castro,N/A,abogado;politico;periodista,politica
rocio alorda zelada,N/A,periodista,periodismo
juan nicolas alvarez borcosqui,N/A,periodista;abogado,periodismo
juan manuel costa andrade,N/A,actor,entretenimiento
carlos ansaldo godoy,N/A,periodista,periodismo
maria de los angeles araya mundaca,N/A,periodista;presentadora de television,entretenimiento
juan rodrigo araya,N/A,periodista,periodismo
marcelo alejandro arismendi valenzuela,N/A,comunicador,periodismo
eduardo sergio arriagada cardini,N/A,periodista,periodismo
juan domingo arteaga alemparte,N/A,periodista;bachiller en filosofia;humanidades.,periodismo
justo arteaga alemparte,N/A,periodista;poeta;politico,politica
juan manuel astorga sanchez,N/A,periodista de television;presentador de television,entretenimiento
felipe alejandro avello suazo,pececillo;don felipes,periodista;comediante;presentador de television,entretenimiento
daniel badilla alegria,N/A,periodista;politico,politica
alberto baeza flores,N/A,poeta;escritor;periodista,literatura
rodolfo andres baier esteban,N/A,periodista;politico;presentador;locutor,politica
federico patricio banados montalva,N/A,periodista;presentador de television;locutor,entretenimiento
ludovico barra,N/A,periodista,periodismo
alfredo barria molina,N/A,periodista;escritor;academico,literatura
diego jose benavente bustamante,N/A,politico,politica
marta elena blanco vidal,N/A,escritora;profesora;periodista,literatura
cristian bofill,N/A,periodista,periodismo
carlos francisco borcosque sanchez,N/A,director de cine;periodista;pintor;guionista;piloto de aviacion;fotografo;actor,entretenimiento
miguel angel calisto aguila,N/A,politico;periodista;economista;relaciones internacionales,politica
cristian campos jara,N/A,periodista;ingeniero comercial,periodismo
sergio alfredo campos ulloa,N/A,periodista,periodismo
eladio andres caniulef urrea,N/A,periodista,periodismo
juan pablo cardenas squella,N/A,periodista,periodismo
nicole cardoch,N/A,politica,N/A
carlos cariola,N/A,abogado;periodista;dramaturgo;escritor;guionista;dirigente deportivo,literatura
jose carrasco tapia,pepone,periodista,periodismo
nathalie castillo,N/A,periodista;politica,periodismo
elmo catalan,N/A,periodista,periodismo
rafael antonio cavada de vasconcellos,N/A,periodista,periodismo
ascanio cavallo castro,N/A,periodista;escritor,literatura
pedro cayuqueo,N/A,periodista,periodismo
marcos chamudez,N/A,periodista;fotografo,periodismo
nataly nadeska chilet bustamante,N/A,periodista;modelo;participante en concursos de belleza;conductora de television,entretenimiento
marcelo comparini abt,N/A,periodista;presentador de television;locutor,entretenimiento
orlando contreras castro,N/A,filologo;periodista;corresponsal;profesor,ciencia
hugo correa marquez,N/A,escritor;periodista,literatura
misael correa pastene,m. correa pastene,critico literario;periodista;escritor,literatura
mauricio correa,N/A,periodista;realizador de television,periodismo
luis corvalan,N/A,profesor;periodista,ciencia
roberto cox,N/A,periodistadj,periodismo
tomas carlos enrique cox fernandez,N/A,presentador de television,entretenimiento
jean philippe cretton vasquez,N/A,periodista;presentador de television;musico;animador;locutor,entretenimiento
silvia veronica cuevas morales,N/A,escritora;periodista,literatura
jaime andres davagnino gallegos,N/A,periodista;locutor,periodismo
bernardo arturo de la maza banados,N/A,periodista;politico,politica
manuel jose de tezanospinto de la fuente,N/A,periodista;youtuber;periodista deportivo;locutor;presentador de television,entretenimiento
santiago rodrigo del campo edwards,N/A,periodista,periodismo
alvaro garcia del otero,N/A,periodista;locutor,periodismo
matias del rio covarrubias,N/A,periodista;presentador de television;locutor,entretenimiento
jorge delano frederick,coke,director de cine;guionista;periodista;pintor;caricaturista,periodismo
jorge andres diaz saenger,N/A,periodista,periodismo
alvaro diaz gonzalez,benito cereno,director;guionista;productor;actor;musico,entretenimiento
john dinges,N/A,escritor;periodista,literatura
armando donoso,N/A,escritor;critico literario;periodista,literatura
maria mercedes ducci budge,N/A,periodista,periodismo
delia ducoing,isabel morel,escritora;periodista;activista feminista,literatura
bruno ebner,N/A,periodista;columnista;viajero;actor.,entretenimiento
catalina edwards delpino,cata edwards,periodista,periodismo
marlen eguiguren ebensperger,N/A,periodista,periodismo
mauricio eduardo electorat muller,N/A,periodista;escritor;poeta;profesor universitario;novelista,literatura
julian eduardo elfenbein kaufmann,N/A,periodista;presentador de television,entretenimiento
claudio elortegui gomez,N/A,periodista,periodismo
igor entrala,N/A,periodista,periodismo
isidoro errazuriz,N/A,periodista;politico,politica
maximiano errazuriz,N/A,politico;profesor de derecho,politica
orlando escarate valdes,N/A,periodista,periodismo
juan nepomuceno espejo bravo,N/A,periodista;parlamentario,periodismo
gerardo espindola,N/A,periodista;politico,politica
januario espinoza del campo,N/A,periodista,periodismo
guido eytel,N/A,escritor,literatura
sebastian eyzaguirre,cuchillo,periodista,periodismo
claudio valentin farina gallardo,N/A,periodista,periodismo
anwar farran,N/A,periodista;politico,politica
gonzalo enrique feito rosse,N/A,periodista;locutor;actor de television,entretenimiento
camilo jorge fernandez leiva,N/A,periodista;ejecutivo discografico;productor discografico,negocios
maria jose ferrada lefenda,N/A,periodista;escritora,literatura
pia figueroa edwards,N/A,escritora;politica,literatura
eugenio figueroa,N/A,periodista;comentarista deportivo;escritor,literatura
emilio hernan filippi muratto,benjamin marroquin,periodista,periodismo
francisco folch verdugo,N/A,abogado;periodista;politico,politica
arturo fontaine aldunate,N/A,abogado;periodista;academico;investigador;ensayista;politico,politica
gonzalo fouillioux,N/A,comentarista deportivo de radio;television,N/A
carlos franco periodista,N/A,periodista,periodismo
ignacio alberto franzani biondi,N/A,periodista;presentador de television,entretenimiento
jorge fuentes,N/A,periodista;politico,politica
manuel fuentes wendling,N/A,escritor;periodista;politico,politica
eduardo oscar fuentes silva,N/A,periodista,periodismo
jose miguel furnaro lobos,N/A,periodista,periodismo
galvarino gallardo,N/A,abogado;politico;periodista,politica
patricia galvez parra,N/A,consultora;asesora en comunicaciones estrategicas,N/A
german gamonal,N/A,escritor;periodista,literatura
juan osvaldo larrea garcia,ricardo garcia,periodista;locutor;ejecutivo discografico,negocios
ernesto garratt,N/A,periodista,periodismo
jose gomez lopez,N/A,periodista,periodismo
mario gomez lopez,mgl,periodista;locutor radial,periodismo
amaro gomezpablos benavides,N/A,periodista;presentador;reportero,entretenimiento
maria jose gomez,pepa,periodista;politica,periodismo
augusto gongora,N/A,periodista;documentalista,periodismo
jorge gonzalez bastias,N/A,poeta;periodista;escritor;politico;agricultor,politica
carlos gonzalez marquez,N/A,abogado;profesor;periodista,ciencia
renato gonzalez moraga,N/A,periodista,periodismo
rosa gonzalez roman,N/A,periodista;politica,periodismo
jorge coke gonzalez,coke,periodista,periodismo
eduardo grez,N/A,politico,politica
vicente grez,N/A,politico;periodista;escritor;poeta,politica
rodrigo guendelman,N/A,periodista,periodismo
ivan guerrero mena,N/A,periodista,periodismo
victor gutierrez prieto,N/A,periodista,periodismo
gustavo hasbun,N/A,periodista,periodismo
oscar hauyon,N/A,cantante;compositor;tecladista;periodista;gestor cultural,entretenimiento
federico heinlein,N/A,compositor;periodista,periodismo
jose camilo henriquez gonzalez,N/A,periodista;politico;sacerdote catolico,politica
jose roberto hernandez cornejo,N/A,historiador;periodista,periodismo
luis hernandez parker,hp;hachepe,periodista,periodismo
rodrigo andres herrera castro,N/A,periodista;comentarista deportivo de television;radio,periodismo
cristian heyne,N/A,musico;compositor;cantante;guitarrista;periodista;productor discografico;letrista;bajista;cantautor,entretenimiento
mateo arnaldo hoevel,N/A,periodista,periodismo
mauricio jose hofmann nunez,N/A,periodista,periodismo
ewaldo hohmann,N/A,periodista,periodismo
pablo enrique honorato mazzinghi,N/A,periodista,periodismo
cristian huneeus,N/A,ensayista,N/A
patricio hurtado pereira,N/A,abogado;periodista;politico,politica
hermogenes irisarri,N/A,periodista;escritor;historiador;diplomatico;politico;poeta,politica
carlos abelardo iturra herrera,leo bedezko;abelardo campos humor,escritor,literatura
claudio iturra,rambito,periodista,periodismo
sergio jara roman,N/A,periodista de investigacion en chilevision,periodismo
patricio jara alvarez,N/A,escritor,literatura
braulio jatar,N/A,periodista,periodismo
sergio jerez,N/A,periodista deportivo,periodismo
carmela jeria,N/A,tipografa;periodista;activista,periodismo
pamela jiles,abuela,periodista;escritora;politica,literatura
jorge said,N/A,periodista,periodismo
francisco jorquera fuhrmann,N/A,abogado;politico,politica
mauricio eduardo jurgensen roldan,N/A,periodista,periodismo
francisco andres kaminski candia,N/A,panelista;presentador de television;empresario.,entretenimiento
juan luis la rivera rojas,N/A,periodista;locutor,periodismo
alfonso lagos villar,N/A,periodista;director del diario la discusion,periodismo
sergio andres lagos gallegos,N/A,periodista,periodismo
jorge alfredo lamadrid bernal,N/A,periodista;director de television;conductor de television;escritor,entretenimiento
carmen gloria larenas,N/A,bailarina;periodista;gestora cultural;columnista,periodismo
marina latorre uribe,N/A,escritora;periodista;galerista,literatura
juan jose german lavin gubeli,N/A,periodista,periodismo
joaquin lepeley,N/A,periodista;ingeniero,periodismo
eugenio pascual santos lira massi,N/A,periodista,periodismo
nicolas acuna,N/A,realizador de television;director de cine,cine
ignacio aguero piwonka,N/A,director de cine,cine
sebastian alarcon,N/A,director de cine;pintor;compositor;guionista;productor de cine;compositor de bandas sonoras;productor;actor,entretenimiento
tomas alzamora munoz,fourd,director de cine;guionista;montajista.,cine
sebastian alfonso knut arrau herud,N/A,guionista;director de cine,cine
cristobal arteaga,N/A,cineasta;director de cine;guionista,cine
roberto andres artiagoitia alti,el rump,actor;director de cine;guionista;locutor,entretenimiento
niles atallah,N/A,director de cine;director de fotografia;escritor,literatura
sebastian badilla,N/A,actor;escritor,entretenimiento
marco bechis,N/A,director de cine;guionista;escritor;pintor,literatura
german becker ureta,N/A,publicista;director de teatro;director de cine;comentarista;realizador de television,cine
eduardo bertran sepulveda,edo.,guionista;director creativo;cineasta,cine
matias javier bize garcia,N/A,guionista;director de cine,cine
yopes bohr elzer,N/A,director de cine;pintor;actor;cantante;actor de cine;guionista;compositor;editor de cine,entretenimiento
alex rodrigo bowen carranza,N/A,director de cine;realizador de television;productor de television,cine
sergio bravo ramos,N/A,documentalista;director de fotografia;director de cine;arquitecto,cine
inti briones,N/A,director de cine;actor;director de fotografia;productor de cine,entretenimiento
pachi bustos,N/A,directora de cine;guionista,cine
hernan caffiero morales,N/A,director de cine;productor de cine;publicista,cine
silvio francisco caiozzi garcia,N/A,director;editor;productor de cine;guionista;director de fotografia;productor ejecutivo;director de television;productor de television;realizador,negocios
cesar antonio gonzalez alvarez,N/A,guionista;director de cine,cine
pedro chaskel,pedro chaskel,director de cine;camarografo,cine
theo court,N/A,director de cine;actor de cine,entretenimiento
hugo covarrubias,N/A,director de animacion;realizador;director de cine,cine
oscar herman davison bascurt,tito davison,actor;guionista;director de cine,entretenimiento
pablo de la barra,N/A,cineasta,cine
nicanor de la sotta,N/A,actor;dramaturgo;director de cine;productor de cine,entretenimiento
daniel de la vega,N/A,director de cine;guionista;productor de cine;director de fotografia,cine
alfredo del diestro,N/A,actor;director de cine,entretenimiento
claudio di girolamo carlini,N/A,director;dramaturgo;pintor escenografo;conductor de television;asesor cultural,entretenimiento
gabriel diaz alliende,N/A,director de cine;camarografo;actor;musico;director de fotografia,entretenimiento
ernesto diaz espinoza,N/A,director de cine;guionista;editor de cine,cine
tevo diaz,N/A,productor cinematografico,cine
manuel dominguez cerda,N/A,fotografo;director de cine,cine
juan downey,N/A,director de cine;profesor universitario;kinetic artist;pintor;grabador;arquitecto;videoartista;dibujante;fotografo;productor de television;artista de performance,ciencia
marco antonio enriquez gumucio,N/A,politico;cineasta,politica
leon errazuriz prieto,N/A,director;productor;guionista;montajista,cine
daniel espinosa,N/A,director de cine,cine
vittorio farfan,N/A,director de cinedirector de fotografiagestor culturalguionista de cinecolumnistaactoranimadordisenador de videojuegos,entretenimiento
alejandro fernandez almendras,N/A,director de cine;guionista,cine
aldo francia boido,N/A,director de cine;pediatra,cine
miguel frank,N/A,director de cine;escritor;pintor;abogado,literatura
alberto felipe fuguet de goyeneche,N/A,periodista;escritor;profesor;guionista;cineasta;productor de cine;critico de cine;academico,literatura
cristian alberto galaz garcia,N/A,director de cine;director de videos musicales,cine
felipe galvez,N/A,director de cine;guionista;editor de cine;cineasta,cine
gustavo graef marino,N/A,cineasta;director de cine;guionista;productor de cine;realizador,cine
patricio guzman lozanes,N/A,director de cine;productor de cine;editor de cine;actor;guionista;realizador;sonidista;productor ejecutivo;director de fotografia,entretenimiento
fernando guzzoni cox,N/A,director de cine;guionista,cine
pablo andres illanes tapia,N/A,periodista;escritor;guionista,literatura
mateo iribarren,N/A,actor;director;guionista;dramaturgo.,entretenimiento
cristian jimenez,N/A,director de cine;guionista,cine
alejandro jodorowsky prullansky,jodo,escritor;director de cine;dramaturgo;guionista;editor de cine;escritor de ciencia ficcion;filosofo;poeta;director de teatro;mimo;actor;compositor;guionista de historieta;artista;titiritero;escultor;ensayista;pintor;dibujante;realizador;productor de cine;creador de comics;historietista;dibujante de historieta;tarotista,entretenimiento
gonzalo justiniano,N/A,director de cine;guionista,cine
fernando kri,N/A,escritor,literatura
dunav kuzmanich,N/A,director de cine;guionista,cine
pablo larrain,N/A,director de cine;productor de cine;productor ejecutivo;guionista;editor de cine;realizador;guionista de cine,negocios
ricardo larrain,N/A,director;guionista;productor;montador,cine
sebastian lelio watt,N/A,director;productor de cine,cine
matias lira,N/A,director de cine,cine
miguel ernesto littin cucumides,N/A,guionista;director de cine;productor de cine;actor;escritor,entretenimiento
mauricio lopez fernandez,N/A,directorguionista,cine
jorge lopez sotomayor,N/A,director de cine,cine
nicolas javier lopez fernandez,N/A,streamer;director de cine;actor de television;guionista;productor ejecutivo;productor de cine;actor de cine,entretenimiento
orlando lubbert,N/A,director;editor;productor de cine;guionista;director artistico;escritor;profesor;realizador,literatura
arturo mario,N/A,actor;director de cine;productor de cine,entretenimiento
italo martinez,N/A,actor,entretenimiento
gonzalo maza,N/A,guionista;productor de cine;director de cine,cine
leonardo medel lizama,N/A,director de cine;guionista,cine
adelqui migliar,adelqui millar,actor;guionista;director de cine;pintor;productor de cine,entretenimiento
francesc morales,N/A,guionista;director;productor,cine
lautaro murua herrera,N/A,actor;director;guionista,entretenimiento
luis oddo osorio,N/A,fotografo;director de cine,cine
jorge cristian olguin cid,N/A,director de cine;productor de cine;productor ejecutivo;guionista;director de fotografia,negocios
gabriel osorio vargas,N/A,director de cine,cine
bernardo palau cabrera,N/A,director de cine;productor de cine;guionista de cine,cine
erasmo parra pizarro,N/A,director de cine;guionista;productor de cine;productor discografico,cine
pedro pablo alfredo peirano olate,N/A,director;dibujante;ilustrador;guionista,cine
pablo alejandro perelman ide,N/A,director de cine,cine
horacio callao,horacio peterson,actordirectorguionista,entretenimiento
patricio pimienta,pato pimienta,actor;guionista;director de cine,entretenimiento
boris vincenzo quercia martinic,N/A,actor;productor de cine;director de cine;escritor;productor de television;realizador de television;guionista;escritor de ficcion de detectives,entretenimiento
bernardo quesney,N/A,director de cine;director de videos musicales,cine
hector rios henriquez,N/A,director de fotografia;director de cine;realizador;guionista de cine,cine
martin rodriguez director de cine,N/A,director de cine,cine
armando rojas castro,N/A,cineasta,cine
alejandro rojas tellez,N/A,director de cine;animador,cine
lucio alejandro rojas,N/A,director de cine;productor de cine;guionista de cine,cine
raul ernesto ruiz pino,N/A,cineasta;profesor,ciencia
juan ignacio sabatini mujica,N/A,director de cine;productor de television,cine
cristian sanchez garfias,N/A,director de cine;academico,ciencia
alberto santana,N/A,director de cine;guionista de cine;productor de cine;guionista,cine
luis sepulveda diaz,N/A,escritor,literatura
rodrigo sepulveda urzua,N/A,director de cine;productor de cine;guionista;realizador de television,cine
sebastian sepulveda,N/A,director de cine;productor de cine;guionista;editor de cine;realizador,cine
pedro perez cordero,pedro sienna,actor;productor;director de cine;poeta,entretenimiento
sebastian silva irarrazaval,N/A,director de cine;guionista de cine;guionista,cine
guillermo sohrens camus,N/A,cineasta;productor;guionista.,cine
helvio soto,N/A,cineasta;productor de television,cine
felipe suau,N/A,productor;dj;guionista;director creativo,cine
francisco toro lessen,N/A,director de cine;gestor cultural;academico;escritor;investigador,literatura
jose luis torres leiva,N/A,director;editor;guionista de cine,cine
sergio trabucco ponce,N/A,director de cine,cine
adolfo urzua rosas,N/A,director de cine;actor,entretenimiento
