nombre,apodo,profesion,categoria
carlos castellon larenas,N/A,abogado;periodista;politico,politica
jorge castro munoz,N/A,politico,politica
javier castro oliveira,N/A,medico cirujano;politico,politica
claudio nicolas castro salas,N/A,politico;ingeniero civil,politica
juan luis castro,N/A,medico cirujano;politico,politica
dalmiro catalan,N/A,agricultor,N/A
nicolas cataldo,N/A,profesor de historia;ciencias sociales;y politico,politica
gaston cerda baeza,N/A,profesor,ciencia
fidel cerda lavalle,N/A,agricultor,N/A
rodrigo cerda,N/A,economista;politico,politica
guillermo ceroni,N/A,abogado;politico,politica
luis felipe cespedes,N/A,economista;politico,politica
miguel chamorro araya,N/A,ingeniero civil;politico,politica
boris felipe chamorro rebolledo,N/A,asistente social;alcalde de coronel;politico,politica
juan francisco chandia galdamez,N/A,politico,politica
carlos charme,N/A,abogado;politico,politica
alejandro chelen rojas,N/A,periodista;politico,politica
ivan cheuquelaf,N/A,abogado;politico,politica
winston chinchon bunting,N/A,medico cirujano;politico,politica
christopher espinoza oliver,N/A,politico;bombero,politica
maglio cicardini,N/A,politico,politica
ricardo cifuentes,N/A,profesor de historia;geografia;politico,politica
oscar cifuentes solar,N/A,medico;politico,politica
fernando claro,N/A,abogado;politico,politica
camilo cobo gormaz,N/A,abogado;politico,politica
ignacio collao,N/A,politico,politica
francisco concha castillo,N/A,abogado,N/A
dionisio concha fernandez,N/A,agricultor;politico,politica
juan carlos concha gutierrez,N/A,medico cirujano;politico,politica
jaime concha lois,N/A,abogado;politico,politica
edmundo concha,N/A,escritor;politico;periodista,politica
cristian alejandro contreras radovic,dr. file,periodista;conferencista;escritor;filosofo;teorico de la conspiracion,literatura
roberto contreras galaz,N/A,abogado;politico,politica
victor contreras tapia,N/A,obrero;dirigente sindical;politico,politica
venancio conuepan huenchual,N/A,politico,politica
jose luis coo,N/A,ingeniero civil;politico,politica
luis cordero vega,N/A,abogado,N/A
lucio cordova labarca,N/A,medico cirujano;politico,politica
bernardo cornejo,N/A,politico,politica
bonifacio correa albano,N/A,ingeniero civil;agricultor;politico,politica
jose gregorio correa albano,N/A,agricultor;politico,politica
hector alejandro correa letelier,N/A,jurista;profesor universitario;politico,politica
luis correa prieto,N/A,comerciante;agricultor;politico,politica
guillermo correa vergara,N/A,agricultor;politico,politica
luis correa vergara,N/A,agricultor;politico,politica
denis cortes,N/A,politico,politica
vasco costa ramirez,N/A,abogado;politico,politica
ignacio cousino,N/A,empresario;dirigente gremial;politico,politica
matias cousino jorquera,N/A,empresario,negocios
waldemar coutts billwiller,N/A,medico cirujano;politico,politica
manuel covarrubias ortuzar,N/A,politico,politica
ramon covarrubias ortuzar,N/A,politico,politica
sergio covarrubias sanhueza,N/A,militar;politico,politica
ruggero cozzi,N/A,abogado,N/A
miguel cruchaga montt,N/A,abogado;politico,politica
miguel cruchaga tocornal,N/A,abogado;politico,politica
lisandro cruz ponce,N/A,abogado;politico,politica
pedro nolasco cruz vergara,pedro n. cruz,politico;escritor;abogado;critico literario,politica
anibal cruzat ortega,N/A,abogado;politico,politica
aurelio cruzat ortega,N/A,abogado;politico,politica
cristobal cuadrado,N/A,medico cirujano;politico,politica
carlos cuadrado,N/A,periodista;politico,politica
hernan cubillos sallato,N/A,oficial naval;diplomatico;empresario,negocios
luis alberto cuevas contreras,N/A,abogado;politico,politica
francisco cuevas mackenna,N/A,ingeniero civil;agricultor;politico,politica
manuel eduardo cunningham escribar,N/A,literatura,N/A
luis danus covian,N/A,militar;politico,politica
miguel davila silva,N/A,militar;politico,politica
emilio de la cerda,N/A,arquitecto;politico,politica
anselmo de la cruz,N/A,militar;politico,politica
jose miguel de la jara,N/A,agricultor;politico,politica
jaime de la sotta benavente,N/A,ingeniero agronomo;politico,politica
alfonso de urresti,N/A,abogado;politico,politica
belisario del canto barriga,N/A,abogado,N/A
hernan del canto,N/A,politico,politica
raimundo del rio castillo,N/A,abogado;politico,politica
lucas del villar,N/A,abogado;politico,politica
sebastian miguel araya serrano,N/A,director;guionista,cine
ximena carrera,N/A,actriz;dramaturga,entretenimiento
francisco javier gormaz arteaga,pipo,actor;locutor;doblajista;cantante;musico,entretenimiento
maureen junott,N/A,transformista;actor,entretenimiento
luis enrique madigna,N/A,actor;actor de doblaje,entretenimiento
matias novoa burgos,N/A,actor,entretenimiento
gabriel antonio prieto escobar,N/A,actor,entretenimiento
roberto colas iglesias,N/A,actor,entretenimiento
rodrigo rochet,N/A,actor;empresario,entretenimiento
alto yoyo,alto yo,comediante;actor,entretenimiento
antonio vico camarero,N/A,actor,entretenimiento
isabel adams,isabel adams,cantante,entretenimiento
gabriela aguilera,N/A,actriz;cantante,entretenimiento
ramon alvarado,huaso alvarado,cantante;boxeador,entretenimiento
cesar avila cofre,N/A,cantautor actor animador,entretenimiento
carmen aida barros alfonso,marianela,actriz;cantante;profesora;directora de teatro,entretenimiento
antonia belen bosman nervi,N/A,actriz;cantante ;bailarina,entretenimiento
lucy briceno,N/A,cantautora;modista;bailarina,N/A
felipe caballero,felipe caballero,cantante,entretenimiento
raquel calderon argandona,kel;k3l;raquelita,abogada;influencer;actriz;cantante,entretenimiento
mayita campos,N/A,cantante,entretenimiento
victor castro,N/A,cantante,entretenimiento
natalia contesse,N/A,cantante;guitarrista,entretenimiento
cristian sol moraga farias,cfunk,musico;compositor;cantante;guitarrista;tecladista;bajista,entretenimiento
easykid,lil cha,cantante,entretenimiento
jaime fernandez,jimm,cantante;rapero;manager,entretenimiento
pedro raul foncea olivares,N/A,mc;cantante;bailarin,entretenimiento
francisca isabel maira manieu,N/A,modelo;influencer;cantante;empresaria,entretenimiento
mirella gilbert,N/A,cantante,entretenimiento
veronica ana de jesus gomez chappuzeau,N/A,cantante;directora coral,entretenimiento
maria ines gonzalez castro,mares gonzalez,actriz,entretenimiento
gamaliel guerra seura,gamelin guerra,musico;trovador,entretenimiento
andrea labarca,N/A,modelo;presentadora;cantante,entretenimiento
luis lebert,lucho lebert,cantautor,N/A
ines del carmen lecaros venegas,N/A,cantante;compositora;pianista,entretenimiento
blanca amelia de las mercedes lowe osorio,kika o blanca lowe de valdivia,actrizcantante,entretenimiento
luz violeta,N/A,drag queen;cantante,entretenimiento
mariel mariel,mariel mariel,cantante;activista por los derechos de las mujeres,entretenimiento
roberto ramon marquez bugueno,N/A,cantante;compositor,entretenimiento
maria ines naveillan,N/A,cantante,entretenimiento
roberto orellana,N/A,cantante;escritor;compositor;pastor de iglesia;musico,entretenimiento
pa pa pa,N/A,pop rock;new wave,N/A
violeta del carmen parra sandoval,N/A,cantautora,N/A
paz quintana,paz gitana,musico;cantautora;compositora;guitarrista,entretenimiento
carmen prieto,N/A,cantante;actriz,entretenimiento
alicia puccio,N/A,cantante;profesora de canto,entretenimiento
elsa raccanelli,N/A,cantante de opera,entretenimiento
claudio emilio reyes norambuena,N/A,actor de television;cantante;politico;comediante,politica
flor simoney romero lugo,simone,cantante;compositora;actriz;animadora de tv,entretenimiento
sebastian andres sotomayor sepulveda,sebi,compositor;musico;cantautor;productor,entretenimiento
marta yupanqui donoso,ester sore,cantante;actriz,entretenimiento
carolina sotomayor,N/A,cantante,entretenimiento
andrea telias,catalina telias,cantante;conductora radiofonica,entretenimiento
maria esperanza de la paz undurraga besa,N/A,cantante,entretenimiento
sonia von schrebler garcia,la unica,cantante,entretenimiento
luis andaur,N/A,aventurero;periodista;deportista;presentador;biologo,entretenimiento
pangal andrade astorga,N/A,constructor civil;kayakista;guia de rafting,N/A
pedro astorga,N/A,publicista;kayakista;empresario,negocios
amanda cerna,N/A,atleta,deporte
gianna cunazza mardones,N/A,deportista;profesora,deporte
fernando demaria,N/A,orador motivacional;ingeniero comercial,ingenieria;tecnologia
kiara pollet godoy soto,N/A,estudiante;deportista;nadadora,deporte
luis alberto miranda espinosa,N/A,comediante;humorista;expaciente de teleton;personalidad de internet;podcaster,entretenimiento
macarena orellana,N/A,kickboxer;profesor de historia,ciencia
julio salas romo,N/A,abogado;ajedrecista,N/A
tita ureta,tita ureta,periodista;conductora de television,entretenimiento
jose francisco jenaro abasolo navarrete,N/A,filosofo;agrimensor,N/A
francisco guillermo acevedo toro,N/A,novelista;medico,literatura
carlos aldunate lyon,N/A,sacerdote catolico;profesor;escritor,literatura
fernando alegria,N/A,escritor;poeta;critico literario,literatura
alfredo lavergne,N/A,escritor,literatura
juan rafael allende astorga,o.n.e,dramaturgo;periodista,literatura
felipe alliende,N/A,escritor,literatura
recaredo amengual novajas,N/A,marino,N/A
miguel luis amunategui aldunate,N/A,escritor;historiador;politico,politica
andres montero escritor,N/A,escritor,literatura
maria de los angeles laso lezaeta,N/A,astrologa;escritora,literatura
jaime antunez aldunate,N/A,filosofo;escritor;academico.,literatura
carlos aranguiz,N/A,juez;abogado;escritor;poeta,literatura
baldo araya uribe,N/A,periodista;escritor,literatura
rene arcos,N/A,escritor;guionista,literatura
braulio arenas carvajal,N/A,escritor;poeta;novelista,literatura
manuel astica,N/A,escritor,literatura
guillermo atias martin,anuar atias,escritor,literatura
pablo azocar,N/A,escritor;periodista,literatura
ruben azocar,N/A,escritor;poeta,literatura
sergio badilla castillo,N/A,escritor,literatura
mario enrique banic illanes,N/A,escritor;periodista,literatura
guillermo banados honorato,N/A,comerciante;militar;reportero;escritor;politico,politica
jorge marcos baradit morales,N/A,disenador grafico;escritor;politico,politica
jose joaquin baranao diaz,N/A,escritor,literatura
josefa barraza,N/A,periodista;escritora;editora,literatura
julio barrenechea,N/A,escritor;politico;poeta,politica
oscar barrientos,N/A,poeta,literatura
diego barros arana,N/A,pedagogo;diplomatico;historiador,N/A
daniel barros grez,N/A,escritor,literatura
daniel belmar,N/A,escritor;quimico farmaceutico,literatura
antonio bentue,N/A,profesor universitario;teologo;escritor.,literatura
claudio bertoni,N/A,escritor;poeta,literatura
guillermo bianchi,shant,diplomatico;escritor,literatura
francisco bilbao barquin,N/A,escritor;politico;filosofo,politica
guillermo blanco martinez,a. i. baeza;sillie utternut,escritor;profesor;periodista,literatura
alberto blest gana,N/A,historiador;diplomatico;escritor,literatura
liborio brieba,N/A,periodista;escritor,literatura
enrique bunster,N/A,periodista;escritor,literatura
